B,D,BN,ms_quantize_fwd,ms_quantize_fwd_mm,ms_cdist_compiled,ms_faiss_search,speedup_fwd_vs_mm,speedup_fwd_vs_cdist,speedup_mm_vs_cdist,speedup_fwd_vs_faiss,speedup_mm_vs_faiss
32,64,2048,0.00912970814100477,0.014759329647117153,0.018087818604809316,0.036960754280581196,1.6166266674865264,1.9812044728539,1.225517624260279,4.048404802183904,2.5042298779335486
32,128,2048,0.01192352570340795,0.01553258394006263,0.020211635760708967,0.04281098754650139,1.3026838140352353,1.6951056477306985,1.301241045192605,3.5904638117453183,2.75620513056302
32,256,2048,0.017715164255035127,0.018460203951361488,0.02351597764662334,0.04137296952615828,1.0420566067353623,1.3274490322571784,1.2738742057554016,2.3354550333564625,2.241197856489929
256,64,16384,0.008964827055288426,0.013121617921324593,0.019223090546967633,0.040697522705332154,1.4636777531122636,2.144279017142642,1.4649939254615265,4.539688546621136,3.1015628521839966
256,128,16384,0.012104938836903546,0.01577941548037395,0.021620363505049187,0.03786442191367261,1.30355185540205,1.78607788080156,1.3701625089940792,3.1280143108396214,2.399608652219561
256,256,16384,0.018004791474359183,0.018681130229921666,0.024727908680322527,0.04305850570819464,1.0375643759343542,1.373407113075306,1.3236837587436603,2.391502604710236,2.304919733348232
1024,64,65536,0.00955995542710054,0.013402786430264458,0.022061818194660274,0.04533571130539998,1.4019716443729717,2.307732328136121,1.6460620565319983,4.742251326494934,3.382558659819325
1024,128,65536,0.013957720676530673,0.016050157147679437,0.024761783395494733,0.046563879648844404,1.149912476373532,1.7740563784981485,1.542775137193896,3.3360661620875987,2.9011478965847197
1024,256,65536,0.020382010751524886,0.02001590896292595,0.030547051760502632,0.051168194154232016,0.9820379945304687,1.4987261135762695,1.5261386238857686,2.5104585989095236,2.556376242967893
4096,64,262144,0.012727191169442756,0.01685483157216163,0.029624046779350738,0.1060369052986304,1.324316681329428,2.327618591168517,1.7575996919648516,8.33152451997569,6.291187476104287
4096,128,262144,0.019132203027858573,0.021695454435592346,0.03902475196210777,0.11037293971584947,1.133975758254363,2.039741680834323,1.7987524565554134,5.768961345179875,5.087376254022032
4096,256,262144,0.03734419637972989,0.03136239026341288,0.05717643709345297,0.13069688911653227,0.8398196588435926,1.5310662067021437,1.8230892675343868,3.499791180068703,4.167312759608194
16384,64,1048576,0.025933530894773345,0.029409463458827563,0.06672981619103555,0.34725842180602046,1.134032368294082,2.5731095569591065,2.2689912818183657,13.390325567892765,11.80771020498802
16384,128,1048576,0.04886759923407312,0.04461735691766293,0.09960664668447011,0.3917603080089276,0.9130253504770766,2.038296299504294,2.2324640804762295,8.016770092027995,8.78044633463797
16384,256,1048576,0.11088732055394478,0.06931922062322861,0.17242912444279349,0.4621080396716128,0.6251320735043462,1.5549940568625218,2.4874648458614255,4.167365911297362,6.666376735297023
32768,64,2097152,0.038810197765018505,0.04122947274070037,0.13784968528617808,0.6793492034077644,1.062336064101752,3.5518933997916555,3.343474367308545,17.50439942411462,16.47727119093457
32768,128,2097152,0.07699100793518635,0.07405389219156804,0.20767903686466074,0.7610136123446675,0.9618511846722299,2.6974453567290877,2.8044310801034116,9.884447973266107,10.276483650258674
32768,256,2097152,0.20041670766141678,0.11960243991273918,0.3770485912208204,0.8875589526217916,0.5967688088899009,1.8813231472587846,3.1525158809127265,4.428567672717338,7.420910085691783
65536,64,4194304,0.0633520475842736,0.06513202393596823,0.2818446294827895,1.3205950887579667,1.028096587554283,4.448863773627328,4.327281918336715,20.84534184946832,20.275664856603466
65536,128,4194304,0.12301013454794883,0.11422452427982505,0.4033494318993586,1.4831686329841614,0.9285781590239689,3.2789935022966317,3.531198176945267,12.05728811235491,12.984677698028518
65536,256,4194304,0.3731528931745776,0.20115887103257357,0.7932305065790812,1.6841630481538319,0.5390789531905423,2.1257519935882487,3.9433036311415455,4.513332414029831,8.372303142828416
