B,D,BN,ms_quantize_fwd,ms_quantize_fwd_mm,ms_cdist_compiled,ms_faiss_search,speedup_fwd_vs_mm,speedup_fwd_vs_cdist,speedup_mm_vs_cdist,speedup_fwd_vs_faiss,speedup_mm_vs_faiss
32,64,8192,0.020687999563630332,0.016349483093016603,0.02025272667577321,0.036427229228946895,0.7902882558910685,0.9789601267866259,1.2387380420867133,1.7607903130946625,2.228035530034962
32,128,8192,0.031476901208906505,0.02031727215613831,0.022585600188800268,0.03798362457138651,0.6454660838846953,0.7175293412430824,1.1116453043120085,1.2067142289292092,1.869523835654817
32,256,8192,0.05365901750451076,0.024319273483177476,0.025064459916247034,0.039026822675676906,0.4532187619934173,0.46710620286963006,1.0306418048871826,0.7273115403649755,1.6047692667576263
256,64,65536,0.021003636023537678,0.01664233712081829,0.021184726999225943,0.03751454256913241,0.792355052342751,1.0086218869668722,1.2729418257442622,1.7860975369736851,2.2541631200466785
256,128,65536,0.03205160660981443,0.021404181607067585,0.023811474868229456,0.03950813980225255,0.6678037038091398,0.7429104930090529,1.1124683627411847,1.2326414798238186,1.8458140809834607
256,256,65536,0.053904287048621095,0.02466285784329687,0.030502103602868973,0.04301992865532813,0.4575305452245613,0.5658567300102939,1.2367627383928321,0.7980799118356693,1.7443205052986404
1024,64,262144,0.021009454207325525,0.01656719102534685,0.026540689330933422,0.047806643401131485,0.7885588488810072,1.26327362286638,1.6020029762636099,2.275482405652517,2.885621547309382
1024,128,262144,0.03388004625119226,0.02446963712149723,0.03183907474999483,0.05178993775800693,0.7222433210413971,0.939758892710319,1.3011666087202967,1.5286265365173288,2.11649798895089
1024,256,262144,0.05656096413282745,0.03312314454616839,0.04250357344129382,0.0589023221652081,0.5856184570754873,0.7514647971961487,1.2831986221009484,1.0413952991834123,1.7782829188547495
4096,64,1048576,0.02445293791592121,0.023720364192162047,0.050630322027349184,0.12176898805654213,0.9700414843288754,2.0705210229313176,2.1344664701260796,4.979728344922465,5.133521014689076
4096,128,1048576,0.04091199895038324,0.03763125724224157,0.06317521854326492,0.12904733310764036,0.9198097919360906,1.5441733516830063,1.6787963829268486,3.1542661424132517,3.429259146908944
4096,256,1048576,0.09128438325444604,0.05863325423504933,0.08979261206213836,0.14629622889416558,0.6423141850190851,0.9836579802686565,1.531428081787465,1.6026424638963659,2.495106758149435
16384,64,4194304,0.05958303152160211,0.048563883149412256,0.13969249247688137,0.42057160916281683,0.8150623073249502,2.3445012599977426,2.8764687545084007,7.058580243778576,8.660172578639992
16384,128,4194304,0.1155503176544842,0.10924176596008338,0.19298986925019157,0.43959208088691787,0.9454042894692466,1.6701803436600258,1.7666308078606996,3.804334681289026,4.0240294270557975
16384,256,4194304,0.32817263221531584,0.18812402919696194,0.2889481632649398,0.5320819295369662,0.5732471593595068,0.8804761119609734,1.5359450065914602,1.6213476606661836,2.8283570780843075
32768,64,8388608,0.10043684902691072,0.08016993521903612,0.27515980527420675,0.8109023587344444,0.7982123692227308,2.739630005721121,3.43220690552424,8.073753473858721,10.114793738063268
32768,128,8388608,0.20243080360675925,0.19672888980971442,0.3566871258345517,0.8549257176262992,0.9718327759636753,1.7620200062409956,1.8130897103092307,4.223298541496048,4.345704987474002
32768,256,8388608,0.5648832023143768,0.3421621254060121,0.5326010455255923,1.04678657362538,0.6057218979147253,0.9428516255103326,1.556575102792584,1.8531026756267528,3.059329177311064
65536,64,16777216,0.17483188769371388,0.14489578037229303,0.5390250404243884,1.6026518189388772,0.8287720408655337,3.083104847376015,3.7200879075941726,9.166816420506457,11.060721125356777
65536,128,16777216,0.3537135833018535,0.3660334535620429,0.6869009387345961,1.6716472864151002,1.0348300739405754,1.9419693536292777,1.8766069932953982,4.725991212467923,4.566924881175526
65536,256,16777216,1.0695087460220838,0.6437904905705225,1.038286254519508,2.0506821055161324,0.6019497203412577,0.9708066982914312,1.612770411689968,1.917405643612931,3.1853252502981717
