B,N,ms_fused_topk,ms_cute_topk,speedup_cute_topk_vs_triton_topk
256,512,0.06364400052864637,0.03813907782455067,1.66873464590373
256,1024,0.048511049133681115,0.04810811971595302,1.0083754971116545
256,8192,0.055183036185531734,0.05914220744461724,0.9330567554010728
256,150000,0.32620216193406476,0.263449288183643,1.2381971656977055
1024,512,0.049274667853578216,0.043892894071691176,1.122611504566021
1024,1024,0.0501577130607551,0.05499707784749077,0.9120068742532934
1024,8192,0.10774734562713337,0.08611544240501863,1.2511965637983424
1024,150000,1.1137200156847635,0.9637546665740736,1.1556053156596193
4096,512,0.07434587921073407,0.07337502088466305,1.0132314555330362
4096,1024,0.09367990000232769,0.09271398884285788,1.010418181458107
4096,8192,0.41461015578645927,0.3831671030721932,1.0820609401542016
4096,150000,5.765051746368409,4.724394639333089,1.2202731114736474
